id,name,absolute_magnitude_h,is_potentially_hazardous,is_sentry_object,date_observed,est_diameter_min_km,est_diameter_max_km,relative_velocity_kmph,miss_distance_km,orbiting_body
3764806,(2016 WU7),25.2,False,False,2024-01-11,0.0242412481,0.0542050786,43069.5991560064,53590787.878337614,Earth
3795086,(2017 YQ5),24.7,False,False,2024-01-11,0.0305179233,0.0682401509,42562.1533025844,28573611.44564452,Earth
3799802,(2018 EC1),26.2,False,False,2024-01-11,0.0152951935,0.0342010925,27014.0716270027,63871706.358625986,Earth
3973542,(2020 AC1),28.39,False,True,2024-01-11,0.0055789822,0.0124749835,19139.2396713033,7388566.767925595,Earth
54051109,(2020 PF5),23.18,False,False,2024-01-11,0.0614546821,0.1374168468,36130.8935231564,24189379.47636741,Earth
54051175,(2020 QY),25.1,False,False,2024-01-11,0.0253837029,0.0567596853,83597.9553496649,74196711.61543931,Earth
2604197,604197 (2015 MO66),20.1,False,False,2024-01-11,0.2538370294,0.5675968529,77723.9186570032,48943736.19265247,Earth
54412457,(2023 WZ3),24.64,False,False,2024-01-11,0.0313729225,0.0701519874,14355.6801575665,6193680.18532465,Earth
54413293,(2023 XV1),21.34,True,False,2024-01-11,0.1434019235,0.320656449,53029.6816162676,41651143.77366772,Earth
54419607,(2024 AG2),23.82,False,False,2024-01-11,0.0457672667,0.1023387195,37224.0074235985,9535581.724920277,Earth
54419605,(2024 AE2),22.59,False,False,2024-01-11,0.0806408277,0.1803183724,59231.443036144,14217867.030063132,Earth
54420624,(2024 AM4),28.71,False,True,2024-01-11,0.004814542,0.0107656431,11503.398782169,119476.219197204,Earth
54421394,(2024 BL1),23.47,False,False,2024-01-11,0.0537718498,0.1202375114,54258.2581885142,23947461.52947642,Earth
54420281,(2024 AB4),26.05,False,False,2024-01-11,0.0163890951,0.0366471308,10644.9909890473,5710132.880793683,Earth
54420442,(2024 AE4),28.72,False,False,2024-01-11,0.0047924212,0.0107161795,29612.4338889239,1217143.260026574,Earth
